P,n_seeds,fp_recovery_rate,estsp_median,estsp_q25,estsp_q75
1,30,0.0,10.738518714904785,9.854246139526367,11.358789443969727
2,30,0.0,9.01045560836792,5.522569894790649,9.914780616760254
3,30,23.333333333333332,2.5460344552993774,2.2403995990753174,2.9537388682365417
4,30,50.0,1.7376063466072083,1.2048381865024567,2.676425874233246
5,30,83.33333333333333,1.1428223252296448,1.0211386978626251,2.172347605228424
6,30,86.66666666666667,1.0958176851272583,1.0472569465637207,1.2964081764221191
7,30,96.66666666666667,1.0093638896942139,0.9156322330236435,1.1173665821552277
8,30,93.33333333333333,1.073688566684723,0.9053824096918106,1.1273961961269379
9,30,100.0,1.0397635698318481,0.9200958460569382,1.0819705724716187
10,30,100.0,0.9823532104492188,0.9454318583011627,1.132717341184616
