time,x1,x2,x3,parent_symbol,projected_symbol
0,-6.608250,-0.234567,8.916899,908,3
1,-6.581541,-0.208927,8.952412,908,3
2,-6.553669,-0.182985,8.983736,908,3
3,-6.524671,-0.156774,9.010824,908,3
4,-6.494585,-0.130329,9.033634,908,3
5,-6.463449,-0.103686,9.052131,908,3
6,-6.431307,-0.076879,9.066284,908,3
7,-6.398201,-0.049946,9.076069,908,3
8,-6.364172,-0.022921,9.081468,908,3
9,-6.329268,0.004160,9.082467,908,3
10,-6.293533,0.031259,9.079061,908,3
11,-6.257017,0.058341,9.071247,908,3
12,-6.219765,0.085370,9.059033,908,3
13,-6.181829,0.112308,9.042429,908,3
14,-6.143259,0.139121,9.021451,908,3
15,-6.104105,0.165771,8.996121,908,3
16,-6.064421,0.192223,8.966470,908,3
17,-6.024259,0.218441,8.932529,908,3
18,-5.983672,0.244389,8.894342,908,3
19,-5.942715,0.270033,8.851953,908,3
20,-5.901442,0.295337,8.805412,908,3
21,-5.859908,0.320268,8.754780,908,3
22,-5.818170,0.344790,8.700118,908,3
23,-5.776282,0.368872,8.641493,908,3
24,-5.734302,0.392480,8.578981,908,3
25,-5.692286,0.415581,8.512661,908,3
26,-5.650289,0.438145,8.442616,908,3
27,-5.608369,0.460139,8.368935,908,3
28,-5.566583,0.481535,8.291714,908,3
29,-5.524985,0.502301,8.211052,924,3
30,-5.483630,0.522475,8.127062,924,3
31,-5.442503,0.542296,8.039904,924,3
32,-5.401416,0.561550,7.949718,924,3
33,-5.360399,0.580151,7.856581,924,3
34,-5.319487,0.598051,7.760588,924,3
35,-5.278691,0.615224,7.661848,924,3
36,-5.238009,0.631651,7.560472,924,3
37,-5.197436,0.647320,7.456577,924,3
38,-5.156983,0.662219,7.350276,924,3
39,-5.116677,0.676337,7.241688,924,3
40,-5.076564,0.689660,7.130933,924,3
41,-5.036705,0.702178,7.018134,924,3
42,-4.997171,0.713877,6.903420,924,3
43,-4.958042,0.724747,6.786920,924,3
44,-4.919397,0.734773,6.668767,924,3
45,-4.881315,0.743944,6.549099,924,3
46,-4.843870,0.752248,6.428056,924,3
47,-4.807133,0.759674,6.305778,924,3
48,-4.771170,0.766210,6.182408,924,3
49,-4.736044,0.771848,6.058093,924,3
50,-4.701813,0.776578,5.932977,926,4
51,-4.666314,0.781120,5.806959,926,4
52,-4.628066,0.785132,5.680221,926,4
53,-4.587027,0.788112,5.552950,926,4
54,-4.544039,0.789800,5.425304,926,4
55,-4.500137,0.790217,5.297427,926,4
56,-4.456017,0.789583,5.169442,926,4
57,-4.411820,0.788170,5.041455,926,4
58,-4.367230,0.786178,4.913568,926,4
59,-4.321760,0.783671,4.785884,926,4
60,-4.275035,0.780593,4.658516,926,4
61,-4.226968,0.776830,4.531586,926,4
62,-4.177755,0.772284,4.405221,926,4
63,-4.127758,0.766917,4.279550,926,4
64,-4.077336,0.760764,4.154692,926,4
65,-4.026728,0.753906,4.030761,926,4
66,-3.976009,0.746434,3.907859,926,4
67,-3.925130,0.738414,3.786085,926,4
68,-3.874003,0.729878,3.665533,926,4
69,-3.822573,0.720824,3.546299,926,4
70,-3.770866,0.711235,3.428476,926,4
71,-3.718983,0.701101,3.312157,926,4
72,-3.667066,0.690428,3.197431,926,4
73,-3.615252,0.679244,3.084385,926,4
74,-3.563644,0.667584,2.973098,926,4
75,-3.512300,0.655488,2.863646,990,4
76,-3.460005,0.643093,2.757192,990,4
77,-3.405199,0.630262,2.653831,990,4
78,-3.347171,0.616916,2.553221,990,4
79,-3.285948,0.603012,2.455081,990,4
80,-3.221987,0.588578,2.359224,990,4
81,-3.155815,0.573744,2.265563,990,4
82,-3.087696,0.558707,2.174100,990,4
83,-3.017489,0.543663,2.084893,990,4
84,-2.944710,0.528743,1.998015,990,4
85,-2.868747,0.513991,1.913516,990,4
86,-2.789084,0.499380,1.831401,990,4
87,-2.705449,0.484863,1.751634,990,4
88,-2.617802,0.470417,1.674154,990,4
