source_seed,candidate_id,mode,P_effective,bDstsp,bvis,n_visited_full,n_visited_cut
22,2,none,3,2.6089651584625244,4,8,8
17,1,none,3,2.9774577617645264,1,8,8
15,0,none,3,6.868245601654053,3,6,6
4,0,none,3,7.855792045593262,3,5,5
0,0,none,3,2.314563751220703,4,7,6
22,1,none,3,1.114717960357666,5,5,5
6,0,none,4,1.1264610290527344,5,10,10
7,1,none,3,0.93289452791214,5,8,8
3,1,none,3,0.957333207130432,3,8,8
27,0,none,3,1.5486323833465576,4,8,7
21,0,none,3,2.2320566177368164,3,7,7
8,0,none,3,4.359886646270752,4,5,5
8,1,none,3,1.0372841358184814,5,5,5
22,0,none,3,4.33933687210083,4,7,7
9,3,none,3,3.601038932800293,3,7,6
3,2,none,3,1.009665846824646,3,8,8
28,1,none,3,5.255368709564209,3,5,5
25,0,none,3,8.308780670166016,3,4,4
26,0,none,3,0.8840271234512329,3,8,8
2,0,none,3,9.657703399658203,2,7,7
28,2,none,3,1.13116717338562,5,5,5
9,0,none,3,4.4522247314453125,3,4,4
28,0,none,3,1.0639821290969849,5,6,6
14,0,none,3,3.70952033996582,4,8,8
9,2,none,3,1.1074951887130735,5,5,5
16,0,none,3,4.281615257263184,4,8,8
3,0,none,3,3.763370513916016,4,8,8
7,0,none,3,2.580429077148437,4,6,6
9,1,none,3,3.510027885437012,3,7,7
17,0,none,3,1.2936179637908936,5,5,5
11,0,none,3,2.7344789505004883,3,5,5
13,0,none,3,3.629295587539673,3,7,7
14,1,none,3,1.1011980772018433,4,6,6
15,1,none,3,4.255917549133301,3,6,6
10,0,none,3,10.189200401306152,5,8,8
16,1,none,3,6.236748218536377,4,4,4
17,2,none,3,2.295812129974365,4,8,8
18,0,none,3,1.2652686834335327,4,6,6
20,0,none,3,8.457008361816406,4,5,5
21,1,none,3,3.10635757446289,3,8,8
24,0,none,3,9.130012512207031,4,5,5
22,3,none,3,10.250510215759276,4,8,8
23,0,none,3,2.276327610015869,3,6,6
20,2,none,3,5.934597015380859,3,3,3
21,3,none,3,11.316274642944336,4,8,8
10,3,none,3,8.086015701293945,3,6,6
20,1,none,3,3.2980213165283203,3,7,6
22,4,none,3,3.501826524734497,3,8,8
18,1,none,3,2.8911519050598145,3,8,8
13,3,none,3,2.459226608276367,4,6,6
13,1,none,3,3.2573821544647217,3,6,6
6,3,none,4,1.9266570806503296,4,12,12
15,3,none,3,4.8693132400512695,3,5,5
27,2,none,3,7.974667549133301,1,7,1
17,5,none,3,0.992238461971283,5,5,5
14,2,none,3,1.2920933961868286,4,6,6
6,4,none,4,4.824564456939697,4,13,13
6,1,none,4,3.572596549987793,4,14,14
17,3,none,3,3.213083505630493,3,8,8
7,2,none,3,2.11430025100708,4,7,6
22,5,none,4,1.006031513214111,5,5,5
24,1,none,3,1.1528120040893557,5,8,8
10,1,none,3,4.478810787200928,3,5,5
17,4,none,3,4.219597339630127,3,6,6
15,2,none,3,1.1273058652877808,5,5,5
13,2,none,3,2.9172844886779785,4,7,7
26,1,none,3,1.1123991012573242,4,8,8
10,2,none,3,5.437763214111328,3,6,6
4,1,none,3,4.90913724899292,3,8,8
24,2,none,3,6.207128047943115,3,8,8
21,2,none,3,8.098565101623535,4,8,8
27,1,none,3,7.883512496948242,1,5,1
6,2,none,4,1.0949428081512451,4,12,12
3,3,none,3,8.340666770935059,2,6,1
4,2,none,3,1.0089244842529297,5,5,5
25,2,none,3,2.537137031555176,4,6,6
24,3,none,3,1.040034532546997,5,5,5
22,6,none,4,1.190576672554016,5,5,5
7,3,none,3,1.0856642723083496,5,7,6
26,2,none,3,0.997016966342926,3,7,7
14,3,none,3,1.0813018083572388,5,5,5
11,1,none,3,1.1096720695495603,5,5,5
10,4,none,3,5.619568824768066,3,8,8
29,0,none,3,10.252603530883787,4,8,8
4,3,none,3,1.130451202392578,5,5,5
6,5,none,4,1.9137548208236692,4,12,12
15,4,none,3,3.956401824951172,3,8,8
13,4,none,3,5.383056163787842,3,6,6
23,1,none,3,1.137324333190918,5,5,5
18,2,none,3,2.3077762126922607,4,7,7
10,9,none,3,9.136878967285156,3,4,4
11,2,none,3,2.819438934326172,3,7,7
3,3,retained_preactivation,3,1.22862708568573,5,5,5
18,5,none,3,2.2675623893737797,4,7,7
11,0,retained_preactivation,3,1.2483670711517334,5,5,5
3,2,retained_preactivation,3,1.2498221397399902,5,5,5
18,0,retained_preactivation,3,1.4796395301818848,5,6,6
14,0,retained_preactivation,3,3.922251701354981,3,5,4
9,1,retained_preactivation,3,1.2558352947235107,5,6,5
13,7,none,3,1.066279053688049,5,6,5
7,0,retained_preactivation,3,9.086193084716797,3,8,8
9,0,retained_preactivation,3,1.1399834156036377,5,6,5
10,0,retained_preactivation,3,1.2559890747070312,5,5,5
4,2,retained_preactivation,3,1.5059269666671753,5,5,5
7,1,retained_preactivation,3,1.5447466373443604,5,6,5
6,6,none,4,9.990888595581056,4,12,12
10,10,none,3,4.142302989959717,3,7,7
11,6,none,3,9.299574851989746,3,7,7
4,3,retained_preactivation,3,13.88292407989502,5,8,3
15,6,none,3,3.200382947921753,4,4,4
0,0,retained_preactivation,3,1.2304937839508057,5,7,5
6,9,none,4,4.588809967041016,3,15,15
10,8,none,3,3.488956928253174,3,6,6
16,0,retained_preactivation,3,1.2008150815963743,5,8,5
4,1,retained_preactivation,3,10.564337730407717,4,8,8
6,0,retained_preactivation,4,1.3530187606811523,5,7,7
15,5,none,3,5.28468656539917,3,6,5
6,2,retained_preactivation,4,1.6466010808944702,5,8,7
13,0,retained_preactivation,3,1.4467425346374512,5,7,5
4,0,retained_preactivation,3,1.4620832204818726,5,5,5
8,0,retained_preactivation,3,1.1463428735733032,5,5,5
6,1,retained_preactivation,4,3.951729536056519,4,10,9
18,3,none,3,4.538646697998047,3,6,6
11,4,none,3,6.210816860198975,3,5,5
2,0,retained_preactivation,3,5.4127116203308105,2,8,8
14,4,none,3,2.34749436378479,3,4,4
15,0,retained_preactivation,3,1.3145713806152344,5,7,5
17,0,retained_preactivation,3,1.6320784091949463,5,5,5
13,1,retained_preactivation,3,8.16485595703125,4,6,3
13,5,none,3,1.4648700952529907,4,8,8
18,4,none,3,8.680790901184082,4,8,8
6,11,none,4,1.0051029920578003,5,11,11
10,5,none,3,2.772130012512207,4,6,5
11,3,none,3,5.367900848388672,3,4,4
6,7,none,4,1.0377262830734253,5,10,10
10,6,none,3,4.672380447387695,3,3,3
10,7,none,3,4.729578495025635,3,6,6
18,6,none,3,8.889147758483887,3,6,5
11,5,none,3,4.70417070388794,3,6,6
8,1,retained_preactivation,3,1.2480429410934448,5,5,5
11,7,none,3,8.683018684387207,3,6,6
6,8,none,4,1.9242900609970093,5,14,14
6,10,none,4,1.097670555114746,5,5,5
13,6,none,3,0.9759429693222046,5,5,5
20,0,retained_preactivation,3,1.274154782295227,5,6,5
26,3,none,3,7.576674461364746,2,5,1
14,1,retained_preactivation,3,1.6033389568328855,5,5,5
23,2,none,3,2.311431169509888,4,4,4
22,7,none,4,1.004069209098816,5,5,5
18,7,none,3,1.0473763942718506,5,5,5
24,4,none,3,1.2555679082870483,5,8,8
10,1,retained_preactivation,3,1.1369034051895142,5,5,5
9,2,retained_preactivation,3,1.429753661155701,5,6,5
15,1,retained_preactivation,3,1.3045004606246948,5,5,5
11,1,retained_preactivation,3,1.1333562135696411,5,5,5
20,1,retained_preactivation,3,1.297520875930786,5,6,5
18,1,retained_preactivation,3,1.7410320043563845,5,6,5
24,7,none,3,3.812363862991333,3,7,7
13,2,retained_preactivation,3,1.4736175537109375,5,6,5
7,2,retained_preactivation,3,1.8278781175613403,5,8,8
24,6,none,3,10.375045776367188,2,8,8
25,4,none,3,4.622070789337158,2,7,7
13,4,retained_preactivation,3,1.5373846292495728,5,6,5
17,1,retained_preactivation,3,1.3121685981750488,5,6,5
9,3,retained_preactivation,3,12.305054664611816,5,7,6
25,3,none,3,2.5486257076263428,3,6,6
15,2,retained_preactivation,3,1.1544663906097412,5,6,5
16,1,retained_preactivation,3,1.2926241159439087,5,5,5
25,5,none,3,8.13798713684082,2,8,8
29,2,none,3,2.3357808589935303,4,7,7
24,5,none,3,10.531960487365724,4,8,8
11,2,retained_preactivation,3,1.118284821510315,5,5,5
14,2,retained_preactivation,3,1.437799096107483,5,6,5
7,3,retained_preactivation,3,1.8813717365264893,5,6,5
6,3,retained_preactivation,4,1.2782998085021973,5,5,5
13,3,retained_preactivation,3,2.557422161102295,5,8,8
29,1,none,3,1.1152907609939575,5,5,5
14,3,retained_preactivation,3,3.1498241424560547,4,7,6
15,3,retained_preactivation,3,1.4160293340682983,5,5,5
18,2,retained_preactivation,3,1.2605961561203003,5,6,5
20,2,retained_preactivation,3,1.1012258529663086,5,5,5
6,4,retained_preactivation,4,3.1922872066497803,5,13,11
17,2,retained_preactivation,3,1.1647825241088867,5,6,5
25,6,none,3,2.46235728263855,3,4,4
26,4,none,3,1.0426994562149048,5,7,7
25,8,none,3,2.6450369358062744,3,5,5
10,11,none,3,3.908710479736328,3,7,7
26,7,none,3,1.058928370475769,3,8,8
18,3,retained_preactivation,3,1.638383865356445,5,5,5
25,7,none,3,2.752873420715332,3,4,4
26,6,none,3,1.1804020404815674,4,8,8
26,5,none,3,2.8237757682800293,3,6,6
26,8,none,3,2.90570330619812,4,4,4
10,2,retained_preactivation,3,1.2130961418151855,5,5,5
14,4,retained_preactivation,3,3.044527053833008,3,5,4
11,3,retained_preactivation,3,1.751685380935669,5,5,5
15,4,retained_preactivation,3,1.1656415462493896,5,6,5
10,3,retained_preactivation,3,1.2354179620742798,5,5,5
11,4,retained_preactivation,3,1.2373340129852295,5,5,5
15,5,retained_preactivation,3,1.2858856916427612,5,7,5
18,5,retained_preactivation,3,1.5499433279037476,5,6,5
13,5,retained_preactivation,3,1.1684417724609375,5,5,5
6,5,retained_preactivation,4,1.4104385375976562,5,7,7
21,1,retained_preactivation,3,1.470708250999451,5,5,5
18,4,retained_preactivation,3,1.936429738998413,5,6,5
17,5,retained_preactivation,3,4.000004768371582,3,6,6
10,4,retained_preactivation,3,1.0927294492721558,5,5,5
10,5,retained_preactivation,3,1.1616754531860352,5,5,5
11,5,retained_preactivation,3,1.303791046142578,5,5,5
17,4,retained_preactivation,3,7.0060200691223145,5,6,6
21,0,retained_preactivation,3,1.3639333248138428,5,5,5
17,3,retained_preactivation,3,1.121829390525818,5,6,5
22,0,retained_preactivation,3,5.454026222229004,3,7,7
22,1,retained_preactivation,3,1.5544228553771973,5,5,5
21,2,retained_preactivation,3,1.5642168521881104,5,5,5
22,2,retained_preactivation,3,6.284067630767822,3,6,6
21,3,retained_preactivation,3,1.3176653385162354,5,5,5
22,4,retained_preactivation,3,1.2820348739624023,5,5,5
22,3,retained_preactivation,3,7.858690738677978,4,7,7
8,1,full_preactivation,3,1.17626690864563,5,5,5
16,0,full_preactivation,3,1.4219353199005127,5,7,5
22,5,retained_preactivation,4,1.209241271018982,5,5,5
6,2,full_preactivation,4,1.4985395669937134,5,8,7
17,0,full_preactivation,3,2.0670785903930664,5,7,7
9,0,full_preactivation,3,1.2766194343566897,5,6,5
13,0,full_preactivation,3,1.440329670906067,5,6,5
3,3,full_preactivation,3,1.193942308425903,5,6,6
4,1,full_preactivation,3,3.143611431121826,4,7,7
15,0,full_preactivation,3,3.053677082061768,3,8,8
7,1,full_preactivation,3,1.9270133972167969,5,8,7
4,2,full_preactivation,3,1.8664318323135376,5,7,7
3,2,full_preactivation,3,1.2333751916885376,5,6,6
7,2,full_preactivation,3,3.426304817199707,4,8,8
6,1,full_preactivation,4,1.6375572681427002,5,8,8
9,1,full_preactivation,3,1.2143774032592771,5,6,5
7,0,full_preactivation,3,7.2572922706604,4,5,5
6,0,full_preactivation,4,9.343138694763184,5,16,16
2,0,full_preactivation,3,4.709721088409424,2,8,8
3,1,full_preactivation,3,1.3052594661712646,5,6,6
11,1,full_preactivation,3,1.252208590507507,5,5,5
11,0,full_preactivation,3,3.4536235332489014,4,8,8
4,0,full_preactivation,3,3.878531694412232,3,6,6
0,0,full_preactivation,3,1.841708302497864,5,7,5
10,1,full_preactivation,3,1.513187050819397,5,5,5
8,0,full_preactivation,3,1.173481822013855,5,5,5
14,0,full_preactivation,3,1.5313713550567627,5,5,5
23,1,retained_preactivation,3,1.13321852684021,5,5,5
10,0,full_preactivation,3,1.3807820081710815,5,5,5
3,0,full_preactivation,3,1.256827473640442,5,6,6
23,2,retained_preactivation,3,1.425877571105957,5,5,5
26,0,retained_preactivation,3,1.1728391647338867,5,5,5
27,0,retained_preactivation,3,1.1035339832305908,5,5,5
18,0,full_preactivation,3,1.5974689722061155,4,7,7
25,0,retained_preactivation,3,2.660841941833496,3,4,4
24,0,retained_preactivation,3,1.29421865940094,5,6,5
13,1,full_preactivation,3,8.377697944641113,4,8,8
9,2,full_preactivation,3,1.207838535308838,5,5,5
15,2,full_preactivation,3,1.4995445013046265,5,5,5
15,1,full_preactivation,3,4.131336688995361,3,8,8
16,1,full_preactivation,3,1.137423038482666,5,5,5
23,0,full_preactivation,3,3.2607641220092773,3,6,6
14,1,full_preactivation,3,1.3891496658325195,5,5,5
9,3,full_preactivation,3,9.731451034545898,4,5,4
18,1,full_preactivation,3,1.4041314125061035,5,5,5
4,3,full_preactivation,3,4.727583885192871,3,6,6
20,0,full_preactivation,3,4.950615406036377,2,5,4
13,2,full_preactivation,3,6.098776817321777,2,4,3
22,1,full_preactivation,3,5.183623790740967,4,8,8
17,2,full_preactivation,3,1.2021255493164062,5,6,5
20,1,full_preactivation,3,4.4586358070373535,3,5,5
17,1,full_preactivation,3,1.3109798431396484,5,5,5
21,0,full_preactivation,3,3.354196786880493,5,5,5
10,2,full_preactivation,3,1.640021800994873,5,5,5
14,2,full_preactivation,3,1.3555805683135986,5,5,5
26,1,retained_preactivation,3,1.23803448677063,5,5,5
6,4,full_preactivation,4,1.6428885459899902,5,8,6
24,2,retained_preactivation,3,1.2978301048278809,5,7,5
11,2,full_preactivation,3,1.3351740837097168,5,5,5
29,1,retained_preactivation,3,1.1747514009475708,5,6,5
13,3,full_preactivation,3,2.231997013092041,4,8,8
24,1,retained_preactivation,3,1.3000495433807373,5,5,5
23,1,full_preactivation,3,1.767503023147583,4,6,6
22,0,full_preactivation,3,5.040896892547607,4,5,5
7,3,full_preactivation,3,1.2405060529708862,5,6,5
10,3,full_preactivation,3,1.2477067708969116,5,5,5
28,1,retained_preactivation,3,1.9511173963546755,5,6,5
26,2,retained_preactivation,3,1.1283903121948242,5,7,6
25,3,retained_preactivation,3,1.133425235748291,5,5,5
25,1,retained_preactivation,3,1.2147252559661863,5,5,5
25,2,retained_preactivation,3,1.3047795295715332,5,5,5
25,4,retained_preactivation,3,1.650307536125183,5,5,5
24,3,retained_preactivation,3,1.3406651020050049,5,6,5
26,5,retained_preactivation,3,9.160944938659668,2,3,3
28,0,retained_preactivation,3,1.3217717409133911,5,6,5
28,2,retained_preactivation,3,1.4034528732299805,5,6,5
26,4,retained_preactivation,3,5.40924072265625,4,8,8
29,0,retained_preactivation,3,1.160109043121338,5,5,5
24,5,retained_preactivation,3,1.330063819885254,5,5,5
29,2,retained_preactivation,3,1.8288785219192505,5,6,5
24,4,retained_preactivation,3,1.3395508527755735,5,6,5
26,3,retained_preactivation,3,3.893016815185547,5,5,5
15,6,retained_preactivation,3,3.616791009902954,3,7,6
25,5,retained_preactivation,3,1.220329523086548,5,5,5
13,6,retained_preactivation,3,1.446460485458374,5,7,5
13,7,retained_preactivation,3,1.1344451904296875,5,6,5
11,3,full_preactivation,3,1.4961992502212524,5,5,5
6,6,retained_preactivation,4,6.140238761901856,3,15,15
6,7,retained_preactivation,4,1.4398930072784424,5,9,6
18,2,full_preactivation,3,1.3953492641448977,5,5,5
21,1,full_preactivation,3,1.3834521770477295,5,5,5
20,2,full_preactivation,3,13.663623809814451,4,7,5
22,2,full_preactivation,3,9.270626068115234,4,8,8
23,2,full_preactivation,3,1.2687586545944214,5,5,5
6,5,full_preactivation,4,1.3547892570495603,5,13,13
10,4,full_preactivation,3,8.896659851074219,2,4,4
15,3,full_preactivation,3,3.016680955886841,5,7,7
14,3,full_preactivation,3,3.348763942718506,3,7,6
18,3,full_preactivation,3,1.2752878665924072,5,5,5
21,2,full_preactivation,3,1.39719557762146,5,5,5
13,4,full_preactivation,3,5.47482442855835,4,8,8
11,4,full_preactivation,3,1.367336392402649,5,5,5
10,5,full_preactivation,3,1.2676663398742676,5,5,5
17,3,full_preactivation,3,11.713058471679688,5,8,8
13,5,full_preactivation,3,4.91278886795044,3,8,7
14,4,full_preactivation,3,3.997667074203491,3,7,6
17,4,full_preactivation,3,4.988071918487549,3,6,6
15,4,full_preactivation,3,3.6861767768859854,3,7,6
22,3,full_preactivation,3,5.66071891784668,2,7,7
21,3,full_preactivation,3,1.30343496799469,5,5,5
11,5,full_preactivation,3,1.452844500541687,5,5,5
18,5,full_preactivation,3,1.313633680343628,5,5,5
18,4,full_preactivation,3,1.3099181652069092,5,6,5
15,5,full_preactivation,3,4.531916618347168,3,8,8
17,5,full_preactivation,3,4.167211055755615,3,6,6
22,4,full_preactivation,3,4.856396675109863,4,8,8
6,8,retained_preactivation,4,1.3319532871246338,5,5,5
6,9,retained_preactivation,4,1.597474217414856,5,5,5
6,11,retained_preactivation,4,1.444939374923706,5,6,6
6,10,retained_preactivation,4,1.4269946813583374,5,5,5
18,6,retained_preactivation,3,1.5362178087234497,5,8,5
10,7,retained_preactivation,3,1.123688817024231,5,5,5
10,8,retained_preactivation,3,1.155280590057373,5,5,5
11,7,retained_preactivation,3,1.5515010356903076,5,5,5
22,6,retained_preactivation,4,1.3277368545532229,5,5,5
18,7,retained_preactivation,3,1.1617710590362549,5,7,5
10,11,retained_preactivation,3,1.3141082525253296,5,5,5
22,7,retained_preactivation,4,1.2710431814193726,5,5,5
10,10,retained_preactivation,3,1.356675624847412,5,5,5
10,6,retained_preactivation,3,1.190340518951416,5,5,5
11,6,retained_preactivation,3,1.1416659355163574,5,5,5
10,9,retained_preactivation,3,1.1101609468460083,5,5,5
26,8,retained_preactivation,3,4.683571815490723,3,4,4
24,6,retained_preactivation,3,2.2802183628082275,5,6,5
25,7,retained_preactivation,3,1.0849231481552124,5,5,5
24,7,retained_preactivation,3,2.4164845943450928,5,6,5
25,8,retained_preactivation,3,1.2746106386184692,5,5,5
26,7,retained_preactivation,3,1.420055866241455,5,5,5
25,6,retained_preactivation,3,1.219148874282837,5,5,5
26,6,retained_preactivation,3,1.235504150390625,5,5,5
22,5,full_preactivation,4,1.3199219703674316,5,5,5
25,0,full_preactivation,3,2.9731714725494385,3,4,4
25,1,full_preactivation,3,10.98018741607666,4,8,7
24,0,full_preactivation,3,1.4716743230819702,5,5,5
26,4,full_preactivation,3,3.36510705947876,3,8,8
26,1,full_preactivation,3,3.449970960617065,3,5,5
26,5,full_preactivation,3,9.223655700683594,2,6,6
24,2,full_preactivation,3,1.4314322471618652,5,6,5
24,1,full_preactivation,3,1.462794065475464,5,5,5
24,3,full_preactivation,3,1.358877182006836,5,6,6
24,5,full_preactivation,3,1.1686455011367798,5,6,5
25,4,full_preactivation,3,7.078434467315674,4,5,5
28,0,full_preactivation,3,1.5445408821105957,5,5,5
29,2,full_preactivation,3,1.284998893737793,5,5,5
24,4,full_preactivation,3,4.410240650177002,3,8,8
25,2,full_preactivation,3,1.169862151145935,5,5,5
28,2,full_preactivation,3,1.4471769332885742,5,6,5
25,5,full_preactivation,3,1.1353176832199097,5,5,5
25,3,full_preactivation,3,1.420996069908142,5,5,5
26,2,full_preactivation,3,1.2028058767318726,5,6,6
27,0,full_preactivation,3,3.1386730670928955,4,6,6
28,1,full_preactivation,3,2.9892826080322266,3,8,8
26,3,full_preactivation,3,4.942877292633057,3,5,5
26,0,full_preactivation,3,4.557184219360352,3,6,6
29,0,full_preactivation,3,6.063176155090332,4,8,8
29,1,full_preactivation,3,1.420006275177002,5,6,5
6,6,full_preactivation,4,5.665331840515137,5,15,15
6,7,full_preactivation,4,1.7611554861068726,5,9,6
16,0,symbol,3,5.588555812835693,4,6,6
7,1,symbol,3,12.435659408569336,5,5,5
10,0,symbol,3,10.111248970031738,4,7,1
0,0,symbol,3,12.346084594726562,2,3,2
2,0,symbol,3,8.748933792114258,3,3,1
3,3,symbol,3,12.001668930053713,5,5,5
8,0,symbol,3,11.95343017578125,5,5,5
11,0,symbol,3,10.440064430236816,3,5,3
8,1,symbol,3,10.39714527130127,4,4,1
3,1,symbol,3,14.147929191589355,3,6,5
9,0,symbol,3,7.145558834075928,5,6,5
4,3,symbol,3,10.230175018310549,3,4,1
3,0,symbol,3,9.57384204864502,5,5,5
15,0,symbol,3,3.00489354133606,5,5,5
13,0,symbol,3,10.826836585998535,5,8,6
7,2,symbol,3,2.208210229873657,5,5,5
6,1,symbol,4,12.101380348205566,5,5,5
3,2,symbol,3,7.637801647186279,5,5,5
11,1,symbol,3,7.024533748626709,5,5,5
14,0,symbol,3,9.200605392456056,4,6,3
4,2,symbol,3,9.3318510055542,4,5,5
7,0,symbol,3,4.612465858459473,5,6,5
9,1,symbol,3,10.343820571899414,5,6,4
