E_stsp,M,P,P_effective,P_original,Q_vis,alpha,auto_lambda_enabled,batch_episodes,best_DH,best_Dstsp,candidate_id,ckpt,deleted_set_str,distill_auto_lambda,distill_grad_ratio_alpha,distill_lambda,distill_lambda_effective,distill_mode,final_loss,final_target_fp_residual,final_traj_loss,final_vis_fps,fp_count_weight,fp_hidden_lr_mult,grad_norm_aux_initial,grad_norm_out_initial,guidance,input_sigma,lambda_formula,lambda_target_fp_residual,lr_end,lr_fixed,lr_start,max_bridge_len,minimal_num_clusters,n_interleave,n_posttransient_symbols,num_clusters,num_deleted,num_epochs,r_anchor,r_bridge,r_local,r_long,retrain_seed,run_status,seed,segment_len,source_seed,state_sigma,symbol_margin,sync_interval,sync_scope,tag,target_fp_count,target_fp_residual_ramp_epochs,teacher,weighting_scheme
1.140663,20,10,3,10,5,0.1,True,16,0.0089,1.1407,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;3;4;5;7;9,True,0.1,1.0,4.6852658818081165,full_preactivation,0.023212,nan,0.010884,5,5.0,1.0,89.10167107347615,4174.650194926517,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,0,200,0,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.130174,20,10,3,10,4,0.1,True,16,0.0127,1.0653,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,2;4;5;6;7;8;9,True,0.1,1.0,0.21826321617032238,full_preactivation,0.019967,nan,0.011394,4,5.0,1.0,11160163.322584128,24358531.397732828,full,0.0,,0.0,1e-05,False,0.001,200,5,128,8,5,7,2000,0.00,0.00,0.00,1.00,0,completed,2,200,2,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.040992,20,10,3,10,5,0.1,True,16,0.0060,1.0410,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;3;4;5;8,True,0.1,1.0,4.812231271644866,full_preactivation,0.029679,nan,0.013115,5,5.0,1.0,1606.1504133768497,77291.67246217409,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,3,200,3,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.201205,20,10,3,10,5,0.1,True,16,0.0087,1.2012,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;3;4;6;8,True,0.1,1.0,4.563424003797629,full_preactivation,0.030229,nan,0.014607,5,5.0,1.0,3146.0524607732623,143567.71316699308,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,3,200,3,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.076098,20,10,3,10,5,0.1,True,16,0.0079,1.0761,2,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;3;4;5;7;8,True,0.1,1.0,7.841778945493935,full_preactivation,0.026932,nan,0.011265,5,5.0,1.0,1639.194013730052,128541.97104448025,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,3,200,3,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.207528,20,10,3,10,5,0.1,True,16,0.0096,1.2075,3,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;3;4;6;7;8,True,0.1,1.0,8.475287832960342,full_preactivation,0.024995,nan,0.010585,4,5.0,1.0,1309.3391908513313,110970.26513440436,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,3,200,3,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
4.742429,20,10,3,10,4,0.1,True,16,0.0074,2.3689,0,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;2;3;4;5;8,True,0.1,1.0,2.3588440974079794,full_preactivation,0.415030,nan,0.285352,3,5.0,1.0,24.3296620024923,573.8987960651251,full,0.0,,0.0,1e-05,False,0.001,200,5,128,4,5,7,2000,0.00,0.00,0.00,1.00,0,completed,4,200,4,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
2.305572,20,10,3,10,4,0.1,True,16,0.0086,2.2490,1,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,0;1;4;6;7;8;9,True,0.1,1.0,1.4152601530158506,full_preactivation,0.267807,nan,0.178500,4,5.0,1.0,26952.111559208122,381442.4952938516,full,0.0,,0.0,1e-05,False,0.001,200,5,128,8,5,7,2000,0.00,0.00,0.00,1.00,0,completed,4,200,4,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand1_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
1.143923,20,10,3,10,5,0.1,True,16,0.0061,1.1439,2,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;3;4;5;6;8,True,0.1,1.0,5.487276602223109,full_preactivation,0.107997,nan,0.051668,5,5.0,1.0,43.82912139575945,2405.025123309526,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,4,200,4,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand2_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
2.430185,20,10,3,10,5,0.1,True,16,0.0127,2.4302,3,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0.pth,1;2;3;4;5;7;8,True,0.1,1.0,1.9182197091587627,full_preactivation,0.178427,nan,0.080257,5,5.0,1.0,22437.406696184833,430398.7574703254,full,0.0,,0.0,1e-05,False,0.001,200,5,128,5,5,7,2000,0.00,0.00,0.00,1.00,0,completed,4,200,4,0.0,,128,full,chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_full_sync_fullstate_ga0p1_v1_rseed0,5,200,parent_free_run,default
