tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed10_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,10,10,0,1,10,3,7,5,5,0;1;2;4;5;6;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.036591,1.1311,0.0069,4,0.019619,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed10_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed15_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,15,15,0,0,10,3,7,5,5,0;2;3;5;6;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.029682,1.2102,0.0108,5,0.024055,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed15_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed13_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,13,13,0,0,10,3,7,5,5,0;1;2;3;5;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.020040,1.1456,0.0085,4,0.013856,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed13_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,7,7,0,1,10,3,7,5,5,0;1;4;5;6;7;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.033627,1.4568,0.0095,5,0.018591,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed7_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,8,8,0,1,10,3,7,5,5,0;3;4;6;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.027804,1.0903,0.0139,5,0.012208,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed8_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,4,4,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.337987,2.4875,0.0104,4,0.225014,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,1,10,3,7,5,5,0;1;2;3;4;6;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,848784054283292450488320.000000,1.2037,0.0072,5,55393510156564168704.000000,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,2,10,3,7,5,5,0;1;3;4;5;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015568,1.0045,0.0122,5,0.010293,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed16_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,16,16,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.031427,1.1522,0.0086,4,0.015547,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed16_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed11_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,11,11,0,0,10,3,7,5,5,0;1;3;4;5;6;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.031481,1.1024,0.0108,5,0.023279,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed11_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth
