tag,M,P,seed,source_seed,retrain_seed,candidate_id,P_original,P_effective,num_deleted,num_clusters,minimal_num_clusters,deleted_set_str,distill_mode,distill_lambda,symbol_margin,distill_auto_lambda,distill_grad_ratio_alpha,grad_norm_out_initial,grad_norm_aux_initial,distill_lambda_effective,weighting_scheme,lambda_formula,alpha,auto_lambda_enabled,sync_scope,sync_interval,r_anchor,r_local,r_bridge,r_long,n_interleave,num_epochs,batch_episodes,segment_len,max_bridge_len,input_sigma,state_sigma,lr_start,lr_end,lr_fixed,target_fp_count,fp_count_weight,lambda_target_fp_residual,target_fp_residual_ramp_epochs,fp_hidden_lr_mult,final_loss,best_Dstsp,best_DH,final_vis_fps,final_traj_loss,final_target_fp_residual,ckpt,condition,is_baseline,run_status,Q_vis,n_posttransient_symbols,E_stsp
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,0,0,0,0,10,3,7,5,5,0;1;3;4;5;7;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015010,1.1611,0.0066,5,0.008602,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed0_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.161143
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,2,2,0,0,10,3,7,5,5,2;4;5;6;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.020287,1.2320,0.0089,5,0.014025,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed2_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.232039
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,250238015459821762778234880.000000,1.2254,0.0061,5,35352113160553041494016.000000,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.225414
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,1,10,3,7,5,5,0;1;2;3;4;6;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,848784054283292450488320.000000,1.2037,0.0072,5,55393510156564168704.000000,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.203712
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,2,10,3,7,5,5,0;1;3;4;5;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.015568,1.0045,0.0122,5,0.010293,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.004481
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,3,3,0,3,10,3,7,5,5,0;1;3;4;6;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.019025,1.1359,0.0131,5,0.013929,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed3_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,6,1.135930
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,4,4,0,0,10,3,7,5,5,0;1;2;3;4;5;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.337987,2.4875,0.0104,4,0.225014,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand0_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,4,5,2.487520
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,4,4,0,1,10,3,7,5,5,0;1;4;6;7;8;9,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.070606,1.3665,0.0139,6,0.038051,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand1_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,7,1.408944
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,4,4,0,2,10,3,7,5,5,1;2;3;4;5;6;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.050599,1.2967,0.0135,5,0.034279,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand2_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,5,5,1.296727
chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0,20,10,4,4,0,3,10,3,7,5,5,1;2;3;4;5;7;8,retained_preactivation,1.0,,False,0.1,,,1.0,coord_equal_fixed,P_eff / N,0.1,False,readout_retained,128,0.00,0.00,0.00,1.00,128,2000,16,200,200,0.0,0.0,0.001,1e-05,False,5,5.0,0.0,200,1.0,0.193524,2.4076,0.0131,4,0.095228,nan,models/chua_orig_nint128_bs16_sig0.0_lr1e-03-1e-05_tfp0_ramp200_hLR1_m20_p10_seed4_minsym5_cand3_reducedp3_retained_coordeq_fixed_syncrr_v1_rseed0.pth,retained_coordeq_fixed_syncrr_v1,False,completed,4,7,2.407624
