M,P,option,depth,num_deleted,num_remaining_relu,deleted_set_str,is_leaf,is_rejected,reject_reason,parent_set_str,added_relu,num_clusters,edge_types,weighted_edges_total,num_self_absorbed_edges,num_fixed_nodes,fixed_collision,num_scc_ge3,largest_scc_size,cycle_penalty_ge3,is_minimal_num_clusters
20,10,_original_nint128_seed20,1,1,9,0,False,False,,,0,27.0,61.0,908.0,6.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed20,1,1,9,1,False,False,,,1,25.0,59.0,856.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,1,1,9,2,False,False,,,2,29.0,65.0,956.0,4.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed20,1,1,9,3,False,False,,,3,26.0,59.0,796.0,9.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed20,1,1,9,4,False,False,,,4,28.0,63.0,956.0,5.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed20,1,1,9,5,False,False,,,5,28.0,67.0,959.0,5.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed20,1,1,9,6,False,False,,,6,31.0,73.0,934.0,2.0,5.0,False,1.0,31.0,31.0,False
20,10,_original_nint128_seed20,1,1,9,7,False,False,,,7,24.0,56.0,766.0,8.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,1,1,9,8,False,False,,,8,29.0,70.0,824.0,4.0,5.0,False,1.0,29.0,29.0,False
20,10,_original_nint128_seed20,1,1,9,9,False,False,,,9,27.0,64.0,901.0,7.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed20,2,2,8,0;2,False,False,,0,2,24.0,52.0,886.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,2,2,8,1;2,False,False,,1,2,22.0,49.0,834.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,2;3,False,False,,3,2,22.0,47.0,774.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,2;4,False,False,,4,2,25.0,56.0,919.0,12.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,2,2,8,2;5,False,False,,2,5,25.0,57.0,937.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,2,2,8,2;6,False,False,,2,6,28.0,63.0,912.0,6.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed20,2,2,8,2;7,False,False,,7,2,22.0,49.0,742.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,2;8,False,False,,2,8,26.0,60.0,802.0,8.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed20,2,2,8,2;9,False,False,,9,2,24.0,54.0,879.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,2,2,8,0;9,False,False,,0,9,22.0,50.0,831.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,1;9,False,False,,1,9,20.0,47.0,779.0,16.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,2,2,8,4;9,False,False,,4,9,23.0,52.0,879.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,2,2,8,5;9,False,False,,9,5,23.0,55.0,882.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,2,2,8,6;9,False,False,,9,6,26.0,62.0,857.0,9.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed20,2,2,8,7;9,False,False,,7,9,19.0,45.0,689.0,15.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed20,2,2,8,8;9,False,False,,9,8,23.0,58.0,745.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,2,2,8,0;8,False,False,,0,8,24.0,56.0,754.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,2,2,8,1;8,False,False,,1,8,22.0,53.0,702.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,3;8,False,False,,3,8,23.0,54.0,642.0,13.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,2,2,8,4;8,False,False,,4,8,25.0,58.0,802.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,2,2,8,5;8,False,False,,5,8,25.0,61.0,805.0,9.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,2,2,8,6;8,False,False,,8,6,28.0,68.0,780.0,6.0,5.0,False,1.0,28.0,28.0,False
20,10,_original_nint128_seed20,2,2,8,7;8,False,False,,7,8,21.0,51.0,612.0,12.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,2,2,8,0;7,False,False,,7,0,20.0,45.0,696.0,14.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,2,2,8,1;7,False,False,,7,1,18.0,41.0,644.0,17.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,2,2,8,3;7,False,False,,7,3,20.0,44.0,566.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,2,2,8,4;7,False,False,,7,4,21.0,47.0,743.0,14.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,2,2,8,5;7,False,False,,7,5,20.0,48.0,747.0,13.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,2,2,8,0;3,False,False,,3,0,21.0,45.0,725.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,2,2,8,1;3,False,False,,1,3,20.0,46.0,672.0,19.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,2,2,8,3;4,False,False,,3,4,22.0,47.0,774.0,14.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,3;5,False,False,,3,5,22.0,51.0,777.0,14.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,3;6,False,False,,3,6,25.0,57.0,752.0,11.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,2,2,8,0;1,False,False,,1,0,21.0,48.0,781.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,2,2,8,1;4,False,False,,1,4,21.0,47.0,834.0,14.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,2,2,8,1;5,False,False,,1,5,22.0,54.0,834.0,15.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,2,2,8,1;6,False,False,,1,6,24.0,57.0,812.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,2,2,8,0;6,False,False,,0,6,26.0,59.0,864.0,8.0,5.0,False,1.0,26.0,26.0,False
20,10,_original_nint128_seed20,2,2,8,4;6,False,False,,4,6,27.0,61.0,912.0,7.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed20,2,2,8,5;6,False,False,,5,6,27.0,65.0,915.0,7.0,5.0,False,1.0,27.0,27.0,False
20,10,_original_nint128_seed20,2,2,8,0;5,False,False,,0,5,23.0,53.0,889.0,11.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,2,2,8,4;5,False,False,,4,5,24.0,55.0,937.0,10.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,2,2,8,0;4,False,False,,0,4,24.0,52.0,884.0,13.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,3,3,7,0;2;8,False,False,,0;2,8,21.0,47.0,732.0,14.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,3,3,7,1;2;8,False,False,,1;2,8,19.0,43.0,680.0,17.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed20,3,3,7,2;3;8,False,False,,2;3,8,19.0,42.0,620.0,17.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed20,3,3,7,2;4;8,False,False,,2;4,8,22.0,51.0,765.0,16.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,3,3,7,2;5;8,False,False,,2;5,8,22.0,51.0,783.0,13.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,3,3,7,2;6;8,False,False,,2;8,6,25.0,58.0,758.0,10.0,5.0,False,1.0,25.0,25.0,False
20,10,_original_nint128_seed20,3,3,7,2;7;8,False,False,,2;7,8,19.0,44.0,588.0,17.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed20,3,3,7,2;8;9,False,False,,2;9,8,20.0,48.0,723.0,16.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,3,3,7,0;1;4,False,False,,1;4,0,18.0,39.0,757.0,23.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,1;2;4,False,False,,1;4,2,18.0,40.0,797.0,21.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,1;3;4,False,False,,1;3,4,16.0,34.0,650.0,24.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed20,3,3,7,1;4;5,False,False,,1;4,5,18.0,42.0,812.0,20.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,1;4;6,False,False,,1;4,6,20.0,45.0,790.0,16.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,3,3,7,1;4;7,False,False,,1;7,4,15.0,32.0,621.0,23.0,5.0,False,1.0,15.0,15.0,False
20,10,_original_nint128_seed20,3,3,7,1;4;8,False,False,,1;4,8,18.0,41.0,680.0,18.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,1;4;9,False,False,,1;9,4,16.0,35.0,757.0,21.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed20,3,3,7,0;4;6,False,False,,0;4,6,23.0,50.0,840.0,15.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,3,3,7,2;4;6,False,False,,2;4,6,24.0,54.0,875.0,14.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,3,3,7,3;4;6,False,False,,3;4,6,21.0,45.0,730.0,16.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,3,3,7,4;5;6,False,False,,4;5,6,23.0,53.0,893.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,3,3,7,4;6;8,False,False,,4;8,6,24.0,56.0,758.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,3,3,7,4;6;9,False,False,,4;9,6,22.0,50.0,835.0,14.0,5.0,False,1.0,22.0,22.0,False
20,10,_original_nint128_seed20,3,3,7,0;2;3,False,False,,0;3,2,18.0,36.0,703.0,20.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,1;2;3,False,False,,1;3,2,16.0,34.0,650.0,23.0,5.0,False,1.0,16.0,16.0,False
20,10,_original_nint128_seed20,3,3,7,2;3;4,False,False,,2;3,4,19.0,39.0,737.0,21.0,5.0,False,1.0,19.0,19.0,False
20,10,_original_nint128_seed20,3,3,7,2;3;5,False,False,,2;3,5,18.0,39.0,755.0,18.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,2;3;6,False,False,,2;3,6,21.0,45.0,730.0,15.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,3,3,7,2;3;7,False,False,,3;7,2,17.0,35.0,542.0,23.0,5.0,False,1.0,17.0,17.0,False
20,10,_original_nint128_seed20,3,3,7,0;2;6,False,False,,0;2,6,23.0,50.0,842.0,12.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,3,3,7,1;2;6,False,False,,1;2,6,21.0,47.0,790.0,15.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,3,3,7,2;5;6,False,False,,2;5,6,24.0,55.0,893.0,11.0,5.0,False,1.0,24.0,24.0,False
20,10,_original_nint128_seed20,3,3,7,2;6;9,False,False,,2;9,6,23.0,52.0,835.0,13.0,5.0,False,1.0,23.0,23.0,False
20,10,_original_nint128_seed20,3,3,7,0;4;5,False,False,,0;4,5,20.0,44.0,865.0,18.0,5.0,False,1.0,20.0,20.0,False
20,10,_original_nint128_seed20,3,3,7,2;4;5,False,False,,4;5,2,21.0,48.0,900.0,17.0,5.0,False,1.0,21.0,21.0,False
20,10,_original_nint128_seed20,3,3,7,3;4;5,False,False,,3;4,5,18.0,39.0,755.0,19.0,5.0,False,1.0,18.0,18.0,False
20,10,_original_nint128_seed20,3,3,7,4;5;7,False,False,,4;7,5,17.0,39.0,724.0,19.0,5.0,False,1.0,17.0,17.0,False
